ray,radius_kpc,ref_accel_mag,ref_selfconv_rel_l2,galax-50_rel_l2,galax-50_angle_deg,galax-100_rel_l2,galax-100_angle_deg,galax-200_rel_l2,galax-200_angle_deg,galax-500_rel_l2,galax-500_angle_deg,galpy-50_rel_l2,galpy-50_angle_deg
x-axis,0.006812920690579608,0.16244265904827815,1.841912136192627e-13,1.5741001619565234e-11,0.0,1.573929298121997e-11,0.0,1.5747494445277232e-11,0.0,1.5729553742651973e-11,0.0,7.142108283197216e-14,0.0
x-axis,0.008254041852680182,0.19632448672096386,1.808199364495895e-13,1.574038253674088e-11,0.0,1.5738827400461797e-11,0.0,1.574688583390795e-11,0.0,1.5729072454711194e-11,0.0,7.026388460943099e-14,0.0
x-axis,0.01,0.23700350328784672,1.816382339612451e-13,1.5740692062218843e-11,0.0,1.573928673739129e-11,0.0,1.5747367355149724e-11,0.0,1.572933235319612e-11,0.0,7.06175725845588e-14,0.0
x-axis,0.012115276586285882,0.2856349421878204,1.7996161690307146e-13,1.5740811189057123e-11,0.0,1.5739062102067784e-11,0.0,1.5747613194015664e-11,0.0,1.5729539295125828e-11,0.0,7.074085156882268e-14,0.0
x-axis,0.01467799267622069,0.3434067581271586,1.7716664075352745e-13,1.573970420636316e-11,0.0,1.5738411019204377e-11,0.0,1.5746331790551933e-11,0.0,1.5728873763908336e-11,0.0,6.999375496924359e-14,0.0
x-axis,0.01778279410038923,0.4113947961992049,1.7352514213334415e-13,1.5736409526454516e-11,0.0,1.573465538427121e-11,0.0,1.5742481557089043e-11,0.0,1.5725344937298267e-11,0.0,6.598273289519441e-14,0.0
x-axis,0.021544346900318832,0.49028913348541253,1.699451044443409e-13,1.5734584313686182e-11,0.0,1.5733225658620672e-11,0.0,1.5740698261480982e-11,0.0,1.572405473692847e-11,0.0,6.476255812270455e-14,0.0
x-axis,0.026101572156825358,0.5799173752665484,1.613881648792948e-13,1.573371879293251e-11,0.0,1.5732187232648957e-11,0.0,1.573946214399583e-11,0.0,1.5723763651089418e-11,0.0,6.394264183830743e-14,0.0
x-axis,0.03162277660168379,0.6784789555616844,1.505433844752652e-13,1.572949280007774e-11,0.0,1.572818372716926e-11,0.0,1.5735056359938785e-11,0.0,1.5719838387377694e-11,0.0,5.907191499519448e-14,0.0
x-axis,0.03831186849557287,0.7814411722967812,1.3596460901123508e-13,1.5724299928462392e-11,0.0,1.5723021264427803e-11,0.0,1.5729272510819125e-11,0.0,1.5715633427783515e-11,0.0,5.427218457920466e-14,0.0
x-axis,0.046415888336127774,0.8802189962932321,1.1717506600289897e-13,1.571659448262534e-11,0.0,1.571571157039496e-11,0.0,1.57208829134586e-11,0.0,1.5709152793826446e-11,0.0,4.6415957254113966e-14,0.0
x-axis,0.05623413251903491,0.9612077802332892,9.182481901703927e-14,1.5704585116089214e-11,0.0,1.5703661092753192e-11,0.0,1.5707703694848283e-11,0.0,1.5698694467322082e-11,0.0,3.465087510077272e-14,0.0
x-axis,0.06812920690579612,1.006549797308799,5.426753147991245e-14,1.569125818766822e-11,0.0,1.5690816988225293e-11,0.0,1.5693022985439925e-11,0.0,1.5687949191846272e-11,0.0,2.1177573260454787e-14,0.0
x-axis,0.08254041852680181,0.9987871756176453,1.1560340118465483e-14,1.5673375744075853e-11,0.0,1.56735980583089e-11,0.0,1.56735980583089e-11,0.0,1.5672708801376712e-11,0.0,3.557027728758651e-15,0.0
x-axis,0.1,0.9305575940024873,3.937140489612047e-14,1.565430920127201e-11,0.0,1.565490573770983e-11,0.0,1.5652758206533678e-11,0.0,1.5656814654310854e-11,0.0,1.562925467088357e-14,0.0
x-axis,0.12115276586285877,0.8149850282405472,8.405155707861611e-14,1.564080960450648e-11,0.0,1.564121828306602e-11,0.0,1.5637540176030163e-11,0.0,1.564557752103444e-11,0.0,2.915240391381254e-14,0.0
x-axis,0.1467799267622069,0.6844204977576193,1.0089684975529058e-13,1.563252316867584e-11,0.0,1.563333423659992e-11,0.0,1.5628467829055452e-11,0.0,1.5638525071314015e-11,0.0,3.779576526202626e-14,0.0
x-axis,0.1778279410038923,0.5698598848348454,9.585333915440207e-14,1.5633056179729256e-11,0.0,1.5633640651309464e-11,0.0,1.5628964878667786e-11,0.0,1.563870607167128e-11,0.0,3.68217095532119e-14,0.0
x-axis,0.21544346900318823,0.47964778641280453,8.332787103099616e-14,1.5635896333194076e-11,0.0,1.5636590732119336e-11,0.0,1.5632540071721995e-11,0.0,1.5640988591979304e-11,0.0,3.3794081029234514e-14,0.0
x-axis,0.2610157215682536,0.4035608124118364,9.5874701453187e-14,1.563514177242024e-11,0.0,1.5635967092662306e-11,0.0,1.5631290277957272e-11,0.0,1.564050635399366e-11,0.0,3.493855691407053e-14,0.0
x-axis,0.31622776601683794,0.33138516911745164,1.1876634771490686e-13,1.5624391467434683e-11,0.0,1.562556405478871e-11,0.0,1.5619868630497728e-11,0.0,1.563176201651713e-11,0.0,4.5228369369564235e-14,0.0
x-axis,0.3831186849557285,0.26222742346137207,1.4458486374343526e-13,1.5612624993856948e-11,0.0,1.5614106829942165e-11,0.0,1.560712103125471e-11,0.0,1.5621516010368256e-11,0.0,5.71565347155518e-14,0.0
x-axis,0.46415888336127775,0.20231371226845024,1.5214457296346726e-13,1.5609155165069234e-11,0.0,1.5610664263628837e-11,0.0,1.560339315238712e-11,0.0,1.561862132876128e-11,0.0,6.036394238405357e-14,0.0
x-axis,0.5623413251903491,0.15680854377398645,1.3593826943211584e-13,1.5615908701012185e-11,0.0,1.5617147721697114e-11,0.0,1.5610598612362493e-11,0.0,1.562440484285169e-11,0.0,5.41629042268513e-14,0.0
x-axis,0.6812920690579608,0.12440529673348252,1.1690757551705505e-13,1.5623671179975905e-11,0.0,1.5625121369366862e-11,0.0,1.5619432164833113e-11,0.0,1.5631368339050977e-11,0.0,4.607140142036078e-14,0.0
x-axis,0.8254041852680182,0.10005034756253212,1.091632290225175e-13,1.5626293175043697e-11,0.0,1.5627818963505256e-11,0.0,1.562227064182686e-11,0.0,1.5633505993225617e-11,0.0,4.341561713347427e-14,0.0
x-axis,1.0,0.07963770036952514,1.2302864280178905e-13,1.5620455359016162e-11,0.0,1.5622023712819582e-11,0.0,1.5615750297605896e-11,0.0,1.562881991263441e-11,0.0,4.949027557465126e-14,0.0
x-axis,1.2115276586285877,0.061615292445735576,1.506807754196067e-13,1.561415458232429e-11,0.0,1.5616181677957737e-11,0.0,1.560863637754435e-11,0.0,1.5623839594795205e-11,0.0,5.5519897071640434e-14,0.0
x-axis,1.467799267622069,0.04649543501010892,1.649081842583408e-13,1.5610462426790826e-11,0.0,1.5612402523076215e-11,0.0,1.560434366158305e-11,0.0,1.5620759860920982e-11,0.0,5.909831761655402e-14,0.0
x-axis,1.7782794100389228,0.03518958137142417,1.4591766337583706e-13,1.562206335263379e-11,0.0,1.5618908376128366e-11,0.0,1.5611612492959577e-11,0.0,1.5626598631360336e-11,0.0,4.7719019644523534e-14,0.0
x-axis,2.154434690031882,0.027490920574699117,1.0979693604651185e-13,1.6089415842179502e-11,0.0,1.563129759177859e-11,0.0,1.5625870846663646e-11,0.0,1.5637355353767362e-11,0.0,4.2000483122155324e-13,0.0
x-axis,2.610157215682536,0.022216743890784,8.120507775058846e-14,3.4761707494469275e-11,0.0,1.5641659610872655e-11,0.0,1.5637599356985126e-11,0.0,1.564650068281548e-11,0.0,1.909225076082815e-11,0.0
x-axis,3.1622776601683795,0.01817772876410456,7.920794196819944e-14,1.3500048939050232e-10,0.0,1.5644618282527368e-11,0.0,1.56409918948228e-11,0.0,1.5649389845296535e-11,0.0,1.193308681190645e-10,0.0
x-axis,3.831186849557285,0.01461788148235687,9.99212620881857e-14,6.2583585586481e-09,0.0,1.5635304090146577e-11,0.0,1.5630557236840725e-11,0.0,1.5640762971448305e-11,0.0,6.274027921410717e-09,0.0
x-axis,4.6415888336127775,0.011275677862071237,1.4246185093298505e-13,2.782193763916382e-08,0.0,1.5620341953483563e-11,0.0,1.5614034247340743e-11,0.0,1.5627265045591536e-11,0.0,2.780626868171909e-08,0.0
x-axis,5.623413251903491,0.00830911362051446,1.7745755106057306e-13,7.577156212260091e-09,0.0,1.5606452134621957e-11,0.0,1.5598518738221603e-11,0.0,1.561438553102231e-11,0.0,7.592825714018737e-09,0.0
x-axis,6.812920690579608,0.006001233793177547,1.823975787422186e-13,4.388332253072142e-09,0.0,1.5601352327516003e-11,0.0,1.5594703921317794e-11,0.0,1.561002416168758e-11,0.0,4.404001245706197e-09,0.0
x-axis,8.254041852680182,0.0044151644110138975,1.5794628974703237e-13,3.710799701211166e-06,0.0,1.5808773418558683e-11,0.0,1.560367898261854e-11,0.0,1.56158589203851e-11,0.0,3.7108153705046522e-06,0.0
x-axis,10.0,0.0033652393823510192,1.2113848987759086e-13,3.0578736270111574e-05,0.0,1.971554696904335e-11,0.0,1.561488021595348e-11,0.0,1.5622999072189958e-11,0.0,3.057872060149226e-05,0.0
x-axis,12.115276586285876,0.0026268326735114514,9.955318686285165e-14,8.560634367350213e-05,0.0,1.2055775361543195e-10,0.0,1.561746810029416e-11,0.0,1.5622420995162957e-11,0.0,8.560635934429639e-05,0.0
x-axis,14.677992676220676,0.002048612532732871,1.0732932512463288e-13,2.8135235037656442e-05,0.0,2.604546760934377e-09,0.0,1.5612712144508776e-11,0.0,1.5616310958171732e-11,0.0,2.8135250707102825e-05,0.0
x-axis,17.78279410038923,0.0015568574046884824,1.2897407414426564e-13,0.00045750683383543055,0.0,2.5377001644289215e-08,0.0,1.5595416907133593e-11,0.0,1.5598341805143343e-11,0.0,0.00045750681817329815,0.0
x-axis,21.54434690031882,0.0011402989428014733,1.563123760500381e-13,9.342046473258045e-05,0.0,1.0924330337824539e-07,0.0,1.5577992513402824e-11,0.0,1.557951380173421e-11,0.0,9.342044906464175e-05,0.0
x-axis,26.10157215682533,0.0008171922230707741,1.5708609749114836e-13,0.0014104177215914957,0.0,5.176927044764456e-07,0.0,1.5566913843605175e-11,0.0,1.5567444539880483e-11,0.0,0.0014104177372829907,0.0
x-axis,31.622776601683793,0.000591833243636383,1.295180600598875e-13,0.0016929263691376861,0.0,3.3217255067809228e-06,0.0,1.546907285645763e-11,0.0,1.556506643986834e-11,0.0,0.0016929263848335528,0.0
x-axis,38.31186849557285,0.0004410336931599696,1.0005364466373979e-13,0.0005923542610251195,0.0,1.5653786802230275e-05,0.0,1.226456101295695e-11,0.0,1.5570756263773907e-11,0.0,0.0005923542453650033,0.0
x-axis,46.41588833612773,0.0003349443401468452,8.917830896585058e-14,0.00421497100061178,0.0,3.070954719266179e-05,0.0,7.283780001882012e-11,0.0,1.5575452927999755e-11,0.0,0.004214970985008489,0.0
x-axis,56.23413251903491,0.0002529262010363265,1.0802318871943819e-13,0.005799205910720726,0.0,4.490015415436984e-05,0.0,1.252734631656454e-10,0.0,1.5570771059700194e-11,0.0,0.005799205895142025,0.0
x-axis,68.12920690579608,0.000184932340651132,1.6679371330408204e-13,0.0025650629542282276,0.0,0.00022355165036536535,0.0,1.0829907303922425e-08,0.0,1.5559742880555096e-11,0.0,0.0025650629385990118,0.0
x-axis,82.54041852680173,0.00012900876678615796,2.372056340104015e-13,0.003661920851974965,0.0,0.0001615089559647792,0.0,8.22012101551963e-08,0.0,1.5544637766066784e-11,0.0,0.0036619208677017615,0.0
x-axis,100.0,8.663796844098317e-05,2.8907730219323897e-13,0.008100530289513984,0.0,0.0007458711992729463,0.0,4.6282068134160933e-07,0.0,1.55206980106087e-11,0.0,0.008100530305310306,0.0
x-axis,121.15276586285876,5.7491528287198704e-05,2.9961391753790026e-13,0.008087501860239038,0.0,0.0012701285724404333,0.0,2.433822117990958e-06,0.0,1.5486810023982325e-11,0.0,0.008087501876034891,0.0
x-axis,146.77992676220674,3.837411663351107e-05,2.9418931590857875e-13,0.004461690656649882,0.0,3.1110170186463695e-05,0.0,9.269850603520556e-06,0.0,1.5451119533009045e-11,0.0,0.004461690672389187,0.0
x-axis,177.82794100389228,2.5806493648762394e-05,2.707197592994353e-13,4.686017723691905e-05,0.0,0.003152176238822619,0.0,1.1032987441221548e-05,0.0,1.5426299843916798e-11,0.0,4.6860192907155516e-05,0.0
x-axis,215.44346900318823,1.743706453451925e-05,2.285042287936335e-13,0.00018305862178295989,0.0,0.005697674364898587,0.0,6.342918584409893e-05,0.0,1.5895616874929e-11,0.0,0.00018305860611643015,0.0
